FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,IS_DELAYED,DAY_OF_WEEK,MONTH,YEAR,DEP_HOUR,DEP_MINUTE,AIRLINE_NUM,MAJOR_ORIGIN,MAJOR_DEST,DISTANCE_CAT
2021-12-28T00:00:00.000000000Z,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2653,IAH,"Houston, TX",ORD,"Chicago, IL",520,512.0,-8.0,12.0,524.0,713.0,8.0,757,721.0,-36.0,0.0,B,0.0,157.0,129.0,109.0,925.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,1,12,2021,5,20,0,1,1,1
2021-03-02T00:00:00.000000000Z,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,2869,ISP,"Islip, NY",PBI,"West Palm Beach/Palm Beach, FL",1250,1240.0,-10.0,12.0,1252.0,1528.0,5.0,1550,1533.0,-17.0,0.0,B,0.0,180.0,173.0,156.0,1052.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,1,3,2021,12,50,14,0,0,2
2022-07-03T00:00:00.000000000Z,Allegiant Air,Allegiant Air: G4,G4,20368,2560,IAD,"Washington, DC",SRQ,"Sarasota/Bradenton, FL",2103,2104.0,1.0,9.0,2113.0,2302.0,4.0,2339,2306.0,-33.0,0.0,B,0.0,156.0,122.0,109.0,849.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,6,7,2022,21,3,9,0,0,1
2022-07-05T00:00:00.000000000Z,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,348,TPA,"Tampa, FL",ACY,"Atlantic City, NJ",1930,1924.0,-6.0,9.0,1933.0,2134.0,3.0,2156,2137.0,-19.0,0.0,B,0.0,146.0,133.0,121.0,913.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,1,7,2022,19,30,2,1,0,1
2023-02-22T00:00:00.000000000Z,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,246,IAH,"Houston, TX",MSY,"New Orleans, LA",1305,1256.0,-9.0,8.0,1304.0,1351.0,3.0,1415,1354.0,-21.0,0.0,B,0.0,70.0,58.0,47.0,305.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,2,2,2023,13,5,3,1,0,0
2022-08-04T00:00:00.000000000Z,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1274,ATL,"Atlanta, GA",HPN,"White Plains, NY",1153,1149.0,-4.0,12.0,1201.0,1351.0,4.0,1410,1355.0,-15.0,0.0,B,0.0,137.0,126.0,110.0,780.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,3,8,2022,11,53,1,1,0,1
2022-11-21T00:00:00.000000000Z,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1228,BUR,"Burbank, CA",SFO,"San Francisco, CA",2055,2117.0,22.0,13.0,2130.0,2220.0,4.0,2205,2224.0,19.0,0.0,B,0.0,70.0,67.0,50.0,326.0,0.0,0.0,0.0,0.0,19.0,1,0,11,2022,20,55,3,0,1,0
2019-06-11T00:00:00.000000000Z,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5403,LAX,"Los Angeles, CA",MFR,"Medford, OR",1235,1227.0,-8.0,24.0,1251.0,1417.0,8.0,1449,1425.0,-24.0,0.0,B,0.0,134.0,118.0,86.0,630.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,1,6,2019,12,35,11,1,0,1
2021-06-03T00:00:00.000000000Z,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2025,JAC,"Jackson, WY",ORD,"Chicago, IL",1158,1227.0,29.0,15.0,1242.0,1627.0,14.0,1610,1641.0,31.0,0.0,B,0.0,192.0,194.0,165.0,1162.0,17.0,0.0,2.0,0.0,12.0,1,3,6,2021,11,58,4,0,1,2
2019-07-04T00:00:00.000000000Z,Republic Airline,Republic Airline: YX,YX,20452,4512,CLT,"Charlotte, NC",IND,"Indianapolis, IN",1450,1441.0,-9.0,28.0,1509.0,1615.0,5.0,1631,1620.0,-11.0,0.0,B,0.0,101.0,99.0,66.0,427.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,3,7,2019,14,50,5,1,0,0
